Algoritmo,Tamano,Shuffle,NodosGenerados,NodosExpandidos,FronteraMaxima,FactorRamificacion,LongitudSolucion,Tiempo_ms
RBFS,16,200,374054,178772,3,1.37783,36,48.1565
SMAStar,16,200,94900,48594,46306,-1,-1,-1
Greedy,16,25,2431,1202,1230,1.03282,135,3.99986
BFS,16,25,13470,6627,6844,2.25006,11,22.7648
AStar,16,25,49,23,27,1.23398,11,0.082514
IDAStar,16,25,49,26,10,1.23398,11,0.060102
BeamSearch,16,25,1258,623,100,1.7746,11,2.04191
RBFS,16,25,38,17,3,1.19349,11,0.034587
SMAStar,16,25,38,18,21,1.19349,11,0.062287
Greedy,16,50,1862,923,940,1.0501,92,5.32414
BFS,16,50,161953,82108,79846,2.25927,14,549.203
AStar,16,50,53,26,28,1.1631,14,0.157664
IDAStar,16,50,44,25,13,1.14044,14,0.121032
BeamSearch,16,50,1952,954,100,1.60215,14,5.41375
RBFS,16,50,53,25,4,1.1631,14,0.044126
SMAStar,16,50,36,15,22,1.11566,14,0.125323
Greedy,16,100,17631,8726,8906,1.00944,544,96.3675
BFS,16,100,3012230,1566336,1445894,-1,-1,-1
AStar,16,100,29739,15146,14483,1.29634,34,163.182
IDAStar,16,100,47795,22583,33,1.31651,34,116.929
BeamSearch,16,100,7411,3696,100,1.18258,42,39.5774
RBFS,16,100,84974,40446,3,1.3412,34,11.0932
SMAStar,16,100,44640,23035,21606,1.31359,34,4935.67
Greedy,16,200,26889,13389,13501,1.0053,938,285.586
BFS,16,200,2281119,1181443,1099676,-1,-1,-1
AStar,16,200,803019,418913,381744,1.28655,48,9613.45
IDAStar,16,200,1041011,521708,47,1.29407,48,4885.2
BeamSearch,16,200,11122,5496,100,1.12615,60,115.883
RBFS,16,200,536785,269341,3,1.27494,48,70.4332
SMAStar,16,200,104186,53098,51088,-1,-1,-1
Greedy,16,25,9,4,6,1.57822,3,0.017169
BFS,16,25,31,14,18,2.71152,3,0.049569
AStar,16,25,9,4,6,1.57822,3,0.01329
