Algoritmo,Tamano,Shuffle,NodosGenerados,NodosExpandidos,FronteraMaxima,FactorRamificacion,LongitudSolucion,Tiempo_ms
BeamSearch,36,50,2783,1214,100,1.53733,16,18.1841
RBFS,36,50,71,31,4,1.15903,16,0.114617
SMAStar,36,50,41,17,25,1.1012,16,0.254774
Greedy,36,100,737,302,436,1.07269,56,8.92298
BFS,36,100,2146643,889546,1257097,-1,-1,-1
AStar,36,100,59,26,34,1.1133,18,0.753251
IDAStar,36,100,34,21,17,1.0607,18,0.416932
BeamSearch,36,100,3342,1414,100,1.4737,18,40.798
RBFS,36,100,51,21,4,1.09971,18,0.220028
SMAStar,36,100,54,23,32,1.10506,18,0.63715
Greedy,36,200,812076,334558,477519,1.00134,5226,20093
BFS,36,200,1198803,495508,703295,-1,-1,-1
AStar,36,200,1217952,504306,708730,-1,-1,-1
IDAStar,36,200,2541170,1012560,50,-1,-1,-1
BeamSearch,36,200,18443,7614,100,1.09686,80,434.762
RBFS,36,200,5000002,1991319,4,-1,-1,-1
SMAStar,36,200,70535,29215,41320,-1,-1,-1
Greedy,36,25,25806,10325,15482,1.01241,467,96.4495
BFS,36,25,4604038,1915093,2688945,-1,-1,-1
AStar,36,25,75,30,46,1.14893,17,1.52648
IDAStar,36,25,45,24,16,1.09867,17,0.855464
BeamSearch,36,25,3193,1314,100,1.50779,17,12.2746
RBFS,36,25,62,24,4,1.13043,17,0.098076
SMAStar,36,25,60,23,38,1.12722,17,0.208446
Greedy,36,50,8095,3486,4610,1.0376,154,52.2749
BFS,36,50,3466804,1433842,2032962,-1,-1,-1
AStar,36,50,644,265,380,1.2469,22,4.12073
IDAStar,36,50,970,400,21,1.27516,22,4.45242
BeamSearch,36,50,4126,1710,100,1.37645,22,26.5837
RBFS,36,50,937,383,3,1.27277,22,0.337501
SMAStar,36,50,683,282,402,1.25095,22,5.61196
Greedy,36,100,793746,315841,477906,1.00224,3350,10761.3
BFS,36,100,2152199,892124,1260075,-1,-1,-1
AStar,36,100,221,85,137,1.07693,38,2.72685
IDAStar,36,100,94,51,37,1.0417,38,1.17326
BeamSearch,36,100,8606,3414,100,1.2124,38,105.455
RBFS,36,100,128,51,4,1.05483,38,0.492469
SMAStar,36,100,193,72,122,1.07155,38,2.39086
Greedy,36,200,1200311,512454,687857,-1,-1,-1
BFS,36,200,1215471,502492,712979,-1,-1,-1
AStar,36,200,1215016,508379,705525,-1,-1,-1
IDAStar,36,200,1876410,796108,52,-1,-1,-1
BeamSearch,36,200,185071,75994,100,1.00987,764,4509.49
RBFS,36,200,5000002,2112468,4,-1,-1,-1
SMAStar,36,200,69345,29645,39700,-1,-1,-1
Greedy,36,25,32,12,21,1.1659,11,0.114999
BFS,36,25,164824,67500,97325,2.86639,11,661.843
AStar,36,25,32,12,21,1.1659,11,0.119497
IDAStar,36,25,23,11,10,1.11207,11,0.074973
BeamSearch,36,25,1793,714,100,1.84014,11,6.17366
RBFS,36,25,32,11,4,1.1659,11,0.043503
SMAStar,36,25,32,12,21,1.1659,11,0.108326
Greedy,36,50,72825,30972,41854,1.02058,358,506.854
BFS,36,50,3502751,1449722,2053029,-1,-1,-1
AStar,36,50,105,50,56,1.1991,16,0.722923
IDAStar,36,50,54,30,15,1.13051,16,0.350115
BeamSearch,36,50,2758,1163,100,1.53635,16,18.0981
RBFS,36,50,68,30,3,1.15456,16,0.112153
SMAStar,36,50,53,25,29,1.12854,16,0.341718
Greedy,36,100,7603,3260,4344,1.02496,212,93.3121
BFS,36,100,2127268,881568,1245700,-1,-1,-1
AStar,36,100,4980,2105,2874,1.20615,36,60.7708
IDAStar,36,100,4702,1993,35,1.20393,36,46.0256
BeamSearch,36,100,7629,3214,100,1.22266,36,91.952
RBFS,36,100,3924,1652,4,1.19694,36,1.25691
SMAStar,36,100,7064,3015,4050,1.21968,36,284.96
Greedy,36,200,395224,159180,236045,1.00471,1602,9756.56
BFS,36,200,1203941,494572,709369,-1,-1,-1
AStar,36,200,1211259,499662,708537,-1,-1,-1
IDAStar,36,200,2544938,1032138,44,-1,-1,-1
BeamSearch,36,200,31448,12710,100,1.0581,132,747.182
RBFS,36,200,2221293,901837,3,1.31619,48,462.57
SMAStar,36,200,69783,28530,41253,-1,-1,-1
